date,pattern,JADremark,P,Pavg,Pmax,Pavg/P,Pmax/P,C,Cavg,Cmax,Cavg/C,Cmax/C,M,Mavg,Mmax,Mavg/M,Mmax/M,CS,CSavg,CSmax
25/May/2018,PU,weekly,60.0%,,,,,90.0%,,,,,60.0%,,,,,,,
28/May/2018,competitive,weekly,80.0%,,,,,60.0%,,,,,90.0%,,,,,,,
11/Jun/2018,competitive,,80.0%,,,,,90.0%,,,,,100.0%,,,,,,,
22/Jun/2018,competitive,,,,,,,100.0%,,,,,55.0%,,,,,,,
23/Jun/2018,competitive,weekly,70.0%,,,,,,,,,,,,,,,,,
25/Jun/2018,competitive,weekly,80.0%,,,,,80.0%,,,,,100.0%,,,,,,,
16/Jul/2018,PU,term,,,,,,,,,,,88.0%,79.0%,100.0%,0.90,1.14,,,
18/Jul/2018,PU,term,91.4%,77.7%,100.0%,0.85,1.09,,,,,,,,,,,,,
20/Jul/2018,PU,term,,,,,,97.1%,84.1%,100.0%,0.87,1.03,,,,,,,,
23/Jul/2018,competitive,term,63.3%,,,,,76.7%,,,,,63.3%,,,,,,,
03/Aug/2018,PU,weekly,92.0%,90.2%,100.0%,0.98,1.09,,,,,,,,,,,,,
06/Aug/2018,competitive,weekly,62.5%,42.3%,95.8%,0.68,1.53,,,,,,,,,,,,,
10/Aug/2018,PU,,,,,,,,,,,,,,,,,,,
13/Aug/2018,competitive,,,,,,,,,,,,-4.8%,,,,,,,
17/Aug/2018,PU,,,,,,,76.0%,,,,,,,,,,,,
18/Aug/2018,PU,weekly,,,,,,76.0%,89.3%,100.0%,1.18,1.32,,,,,,,,
20/Aug/2018,competitive,weekly,,,,,,14.5%,14.0%,61.3%,0.96,4.22,,,,,,,,
27/Aug/2018,competitive,,21.0%,,,,,22.6%,,,,,30.6%,,,,,,,
07/Sep/2018,PU,weekly,80.0%,82.9%,100.0%,1.04,1.25,,,,,,,,,,,,,
10/Sep/2018,competitive,,,,,,,,,,,,,,,,,,,
14/Sep/2018,PU,weekly,,,,,,,,,,,80.0%,83.0%,100.0%,1.04,1.25,,,
17/Sep/2018,competitive,weekly,,,,,,,,,,,51.6%,26.4%,75.8%,0.51,1.47,,,
21/Sep/2018,PU,weekly,,,,,,72.0%,74.5%,100.0%,1.03,1.39,,,,,,,,
24/Sep/2018,competitive,weekly,,,,,,3.2%,9.2%,53.2%,2.85,16.49,,,,,,,,
01/Oct/2018,competitive,,45.2%,,,,,6.5%,,,,,25.8%,,,,,,,
25/Oct/2018,PU,term,88.6%,81.4%,100.0%,0.92,1.13,,,,,,,,,,,,,
25/Oct/2018,PU,term,88.6%,,,,,,,,,,,,,,,,,
29/Oct/2018,PU,term,,,,,,77.1%,79.8%,100.0%,1.03,1.30,,,,,,,,
02/Nov/2018,PU,term,,,,,,,,,,,83.0%,68.6%,100.0%,0.83,1.20,,,
13/Nov/2018,competitive,weekly,20.0%,35.2%,41.7%,1.76,2.09,,,,,,,,,,,,,
23/Nov/2018,PU,weekly,,,,,,88.0%,80.0%,100.0%,0.91,1.14,,,,,,,,
27/Nov/2018,PU,weekly,,,,,,41.0%,9.3%,55.7%,0.23,1.36,,,,,,,,
03/Dec/2018,competitive,,52.5%,,,,,23.0%,,,,,-3.3%,,,,,,,
07/Dec/2018,competitive,term,88.0%,77.1%,100.0%,0.88,1.14,,,,,,,,,,,,,
10/Dec/2018,competitive,weekly,41.0%,16.4%,73.8%,0.40,1.80,,,,,,,,,,,,,
14/Dec/2018,PU,weekly,,,,,,,,,,,92.0%,77.3%,100.0%,0.84,1.09,,,
17/Dec/2018,competitive,weekly,,,,,,,,,,,3.3%,10.8%,49.2%,3.29,15.01,,,
21/Dec/2018,competitive,term,,,,,,92.0%,59.1%,100.0%,0.64,1.09,,,,,,,,
24/Dec/2018,competitive,weekly,,,,,,3.3%,7.8%,67.2%,2.38,20.50,,,,,,,,
10/Jan/2019,PU,term,,,,,,,,,,,87.0%,70.7%,100.0%,0.81,1.15,,,
21/Jan/2019,PU,term,,,,,,70.0%,75.9%,100.0%,1.08,1.43,,,,,,,,
24/Jan/2019,PU,term,72.9%,78.5%,100.0%,1.08,1.37,,,,,,,,,,,,,
01/Feb/2019,PU,final,74.0%,,,,,84.0%,,,,,89.0%,,,,,72.0%,,
25/Feb/2019,competitive,final,21.3%,,,,,41.0%,,,,,34.4%,,,,,,,
25/Feb/2019,competitive,final,0.0%,,,,,21.3%,,,,,44.3%,,,,,,,
01/Apr/2019,PU,weekly,92.0%,79.1%,100.0%,0.86,1.09,,,,,,,,,,,,,
03/Apr/2019,PU,weekly,,,,,,,,,,,96.0%,71.4%,100.0%,0.74,1.04,,,
04/Apr/2019,PU,weekly,,,,,,,,,,,,,,,,100.0%,89.2%,100.0%
08/Apr/2019,competitive,weekly,19.4%,16.6%,71.0%,0.86,3.67,38.7%,16.6%,71.0%,0.43,1.83,19.4%,16.6%,71.0%,0.86,3.67,,,
12/Apr/2019,PU,,76.0%,74.4%,100.0%,0.98,1.32,,,,,,,,,,,,,
15/Apr/2019,competitive,JAD,63.3%,37.3%,91.7%,0.59,1.45,,,,,,,,,,,,,
