"qNum","unattempted","wrong","correct","partCorrect1m","partCorrect2m","partCorrect3m","subject","paper","year","qaNum","qaType","markScheme"
"1",38510,51117,56556,8975,0,0,"physics","1",2018,1,"MultCorrAns","-201234"
"2",42122,64996,25284,22756,0,0,"physics","1",2018,2,"MultCorrAns","-201234"
"3",38242,69095,30124,17697,0,0,"physics","1",2018,3,"MultCorrAns","-201234"
"4",78136,50125,17372,9525,0,0,"physics","1",2018,4,"MultCorrAns","-201234"
"5",52714,29914,13477,27122,31931,0,"physics","1",2018,5,"MultCorrAns","-201234"
"6",17632,25057,48285,24786,39398,0,"physics","1",2018,6,"MultCorrAns","-201234"
"7",22879,77084,55195,NA,NA,NA,"physics","1",2018,7,"NumAns","+03"
"8",36133,104174,14851,NA,NA,NA,"physics","1",2018,8,"NumAns","+03"
"9",37834,110251,7073,NA,NA,NA,"physics","1",2018,9,"NumAns","+03"
"10",29613,91112,34433,NA,NA,NA,"physics","1",2018,10,"NumAns","+03"
"11",30701,105067,19390,NA,NA,NA,"physics","1",2018,11,"NumAns","+03"
"12",34831,98594,21733,NA,NA,NA,"physics","1",2018,12,"NumAns","+03"
"13",35553,113309,6296,NA,NA,NA,"physics","1",2018,13,"NumAns","+03"
"14",21416,76073,57669,NA,NA,NA,"physics","1",2018,14,"NumAns","+03"
"15",18898,36431,99829,NA,NA,NA,"physics","1",2018,15,"ParaSingleAns","-103"
"16",20822,47480,86856,NA,NA,NA,"physics","1",2018,16,"ParaSingleAns","-103"
"17",48865,52457,53836,NA,NA,NA,"physics","1",2018,17,"ParaSingleAns","-103"
"18",75080,59412,20666,NA,NA,NA,"physics","1",2018,18,"ParaSingleAns","-103"
"1",23103,42192,13179,30428,46256,0,"physics","2",2018,1,"MultCorrAns","-201234"
"2",57037,25385,14951,25792,31993,0,"physics","2",2018,2,"MultCorrAns","-201234"
"3",46624,54936,24630,28968,0,0,"physics","2",2018,3,"MultCorrAns","-201234"
"4",41550,94863,18745,0,0,0,"physics","2",2018,4,"MultCorrAns","-201234"
"5",19156,37621,89054,9327,0,0,"physics","2",2018,5,"MultCorrAns","-201234"
"6",68078,32762,32050,16933,5335,0,"physics","2",2018,6,"MultCorrAns","-201234"
"7",25888,117742,11528,NA,NA,NA,"physics","2",2018,7,"NumAns","+03"
"8",14067,91549,49542,NA,NA,NA,"physics","2",2018,8,"NumAns","+03"
"9",25603,114596,14959,NA,NA,NA,"physics","2",2018,9,"NumAns","+03"
"10",31719,98488,24951,NA,NA,NA,"physics","2",2018,10,"NumAns","+03"
"11",41427,98072,15659,NA,NA,NA,"physics","2",2018,11,"NumAns","+03"
