"subject","YP","qaType","markScheme","uOtot3","rOtot3","notrOtot3","rOtotGrp","idYPSQ","right","tot","qaTypeGrp","subjectQaTypeGrp","subject.rOtotGrp80","QOSnchar","QOSntoken","QOSflesch","YPint","rOtotGrp80","iTopic","topicProp","topic1","topic2","topic3","topic4","topic5","topic6","topic7","topic8","topic9","topic10","topic11","topic12","topic13","topic14","topic15","topic16","topic17","topic18","topic19","topic20","topic21","topic22","topic23","topic24","topic25","topic26","topic27","topic28","topic29","topic30","topic31","topic32","topic33","topic34","topic35","topic36","markSchemeGrp"
"P","Y2012P1","SingCorrAns","mark-103",600,143,857,"above25tile","Y2012P1P9",68505,479651,"SingCorrAnsComprParaTwolist","PSingCorrAnsComprParaTwolist","Pbelow79tile",448,132,86.4433673469388,20121,"below79tile","999",0.380514767251276,0.00320601452794718,0.000128461637376022,0.0013473313876079,0.0747631395676479,0.00318064044841353,0.00427645499255597,0.00156790939041279,0.00517522595170929,0.0132689900040851,0.0249506654096483,0.056006328399041,0.00727412122792,0.0074699375389938,0.000764070904823954,0.0350147183880916,0.00172726757793102,0.0011313865745169,0.0107474216164545,0.00128779118597665,0.000454406014134341,0.0268848115604964,0.00350142830589832,0.000385761029458899,0.00200067317694648,0.00276632777221848,0.0100532325448732,0.0184459095955095,0.0202497779725286,0.380514767251276,0.12793107014189,0.00290368993580626,0.0443843766471386,0.0123226195294933,0.0602540266933369,0.00601208767942181,0.0276471574184199,"mark-ve"
"P","Y2012P1","SingCorrAns","mark-103",401,215,785,"above25tile","Y2012P1P8",103358,479651,"SingCorrAnsComprParaTwolist","PSingCorrAnsComprParaTwolist","Pbelow79tile",352,111,84.8146739130435,20121,"below79tile","33",0.349447553254012,0.000857725072952068,0.00184541159794632,0.00247794573034021,0.102867287492267,0.00299547761577462,0.00380671332487676,0.00042066242456889,0.0560454718288779,0.00478931295421361,0.0256772628712299,0.00964811474021064,0.0342181451320471,0.022313487206949,0.000192215093465931,0.0132043063247336,0.0121111072479147,0.135937358600577,0.003454877118365,0.000440707510600755,0.00450577804800331,0.013228482818271,0.00072251593071885,0.00731197530249133,0.00236562822656888,0.00436041141690026,0.0162651187755213,0.039760245578585,0.0228458770761883,0.0026023037292342,0.00101984932861151,0.014502203633782,0.0337801571334801,0.349447553254012,0.0216180731124849,0.013265516737372,0.0190947200098631,"mark-ve"
"P","Y2012P1","SingCorrAns","mark-103",554,162,838,"above25tile","Y2012P1P5",77740,479651,"SingCorrAnsComprParaTwolist","PSingCorrAnsComprParaTwolist","Pbelow79tile",765,222,82.1030632911393,20121,"below79tile","18",0.342844092969262,0.00143593320197888,7.54178561548611e-05,0.00823636873729659,0.0156768469644658,0.00854961195684642,0.00127652581435804,0.00247737405493069,0.00838308876674,0.00760868780668104,0.0186936777321627,0.00270036949458019,0.139644114574988,0.00548183512746943,0.00411643673290853,0.0191875897809904,0.000197227329207104,0.000521854471651452,0.342844092969262,0.00091916467303211,0.000309881034867791,0.0340022640248914,0.00115975234524214,0.000244088757904482,0.00922378818617677,0.000930179393254242,0.00411955292377021,0.00381242046175685,0.0109212441430969,0.00190231397436398,0.00369995614057966,0.000264428180689202,0.00825299971860127,0.0141523509363779,0.00494225487483786,0.00102465630723441,0.313011650550651,"mark-ve"
"P","Y2012P1","SingCorrAns","mark-103",605,162,838,"above25tile","Y2012P1P2",77930,479651,"SingCorrAnsComprParaTwolist","PSingCorrAnsComprParaTwolist","Pbelow79tile",664,211,70.7744553805775,20121,"below79tile","36",0.309996455757374,0.00143987051450467,0.000108935659380581,0.00180616165955631,0.0530965191491271,0.00279094082373477,0.0034862417437117,0.000842104406670509,0.00644436296811539,0.0118205651625937,0.020779772091034,0.0235040087548228,0.00668368423378655,0.00488717234167272,0.000876281266196836,0.0183349428454697,0.00039859009484429,0.00102598662705376,0.0124216435074786,0.00068865708929954,0.00171831440148904,0.0553971350740774,0.00490996998710603,0.000618841025313367,0.00139092742831191,0.000927915677014202,0.0217679691008393,0.0117206875222426,0.024682876329954,0.157720229084748,0.0118700063346442,0.00159296680702404,0.0275188838591917,0.122656273677797,0.0707228921295567,0.00335121486426311,0.309996455757374,"mark-ve"
"P","Y2012P1","SingCorrAns","mark-103",508,110,890,"below25tile","Y2012P1P4",52567,479651,"SingCorrAnsComprParaTwolist","PSingCorrAnsComprParaTwolist","Pbelow79tile",1132,281,76.7967567567568,20121,"below79tile","34",0.281299278783483,0.0416823558633108,4.27777937056665e-05,0.134628105146666,0.0117215328265188,0.0328691702051161,0.00423830457213868,0.00415963531261336,0.00173620850332152,0.0240426375083043,0.0230076976283102,0.00312320499623468,0.0117428925073549,0.00138600954595616,0.00352924809821823,0.0331547721713434,0.00013094213542729,0.000903507114357132,0.0888715828005603,0.000889783143700726,0.00069900630600768,0.0992204063834785,0.000885897388493795,0.000373654690283271,0.00476717894617048,0.000505004486025065,0.00577125849402864,0.0067828513764772,0.0292113863534854,0.0110204292513945,0.00653995947063121,0.000211496085230817,0.0315594759961027,0.022516040152694,0.281299278783483,0.00114696538491342,0.0756293425779429,"mark-ve"
"P","Y2012P1","SingCorrAns","mark-103",286,311,689,"above25tile","Y2012P1P3",148953,479651,"SingCorrAnsComprParaTwolist","PSingCorrAnsComprParaTwolist","Pbelow79tile",588,199,76.5671271008403,20121,"below79tile","18",0.278012176647991,0.00327103957813016,3.64940820014563e-05,0.00142004848965646,0.207635754793427,0.00430283868874974,0.00154337882425377,0.00151309680578444,0.00246319176002702,0.00418115218602758,0.0156817335651972,0.0103868659809284,0.00530628845584709,0.00371407650592426,0.000331909744878856,0.0853079926667612,0.00117261245023254,0.000880732125536006,0.278012176647991,0.0004510942069303,5.04190807046267e-05,0.0240663945003286,0.000447099713616935,0.000215173029434351,0.00226733178719787,0.000820944472053929,0.00507236477831217,0.0170703088560945,0.0114847858606218,0.00898834636857341,0.0177588834625276,0.000184996464770794,0.0181446188422469,0.0157973921661268,0.227194957857039,0.000630535168884678,0.022192970033182,"mark-ve"
"P","Y2012P1","MultCorrAns","mark+003",44,228,772,"above25tile","Y2012P1P13",109485,479651,"MultCorrAns","PMultCorrAns","Pbelow79tile",664,208,90.6538888888889,20121,"below79tile","18",0.24106649458837,0.0510349569344301,3.25933815445719e-05,0.0597362484946003,0.00517587107001321,0.0272674542416577,0.00480025627135319,0.0387430097208549,0.0114073016570468,0.0038507563037374,0.046844176862842,0.000820603969041286,0.0744717414201215,0.00073812003792806,0.10796281596495,0.0409480173592697,0.000227374878404386,0.000250200629421444,0.24106649458837,0.00342882583394978,5.28468470368343e-05,0.0298703520527185,0.00113097892524691,7.63865944283962e-05,0.167490063705562,0.000803415284896992,0.00660347155560027,0.00321150185644698,0.0241968977049393,0.00167336430191549,0.00247318057976367,7.36339014630893e-05,0.00524314909399083,0.00206280650313855,0.00325659088590235,0.00180910029825869,0.0311654402891558,"mark+ve"
"P","Y2012P1","MultCorrAns","mark+003",76,222,778,"above25tile","Y2012P1P11",106542,479651,"MultCorrAns","PMultCorrAns","Pbelow79tile",980,295,80.5154545454545,20121,"below79tile","30",0.42044278563537,0.0137000996882607,2.01321606027099e-05,0.0980225366440593,0.00187628811408449,0.0227693133157435,0.0345011437787551,0.0458293227043,0.00738123733748619,0.00670606506482012,0.0395520917772091,0.00124332635232853,0.0235236053135019,0.00395384775983191,0.0117788769282734,0.080285732966481,0.000369900916347459,0.000684264588343529,0.00406551610595303,0.00443828647555038,0.000148524899960459,0.0164685527464918,0.000702800875169783,0.000287928941002625,0.00501058580494068,0.000851712775966956,0.00857869658036749,0.0028883782856944,0.0849938172500027,0.00690780068244929,0.42044278563537,0.000157178321891211,0.0158556572614802,0.00178961034729875,0.021369962909695,0.00344615420219954,0.0093982644880871,"mark+ve"
"P","Y2012P1","MultCorrAns","mark+003",87,96,904,"below25tile","Y2012P1P14",46236,479651,"MultCorrAns","PMultCorrAns","Pbelow79tile",1359,342,67.6604786967419,20121,"below79tile","15",0.288215333159015,0.00146816583142441,0.000435883347237447,0.0406186462238678,0.0384910860875766,0.0154967427144502,0.00813761648578067,0.00497872705304824,0.00473193320856575,0.00159220745797462,0.0464286831155006,0.00337717846653404,0.00982631665136859,0.00412271534049861,0.00880478400181158,0.288215333159015,0.00155058168458942,0.000878428834961378,0.0094060166922495,0.00199323874056266,7.63774585576809e-05,0.0118655430221387,0.0133943536812745,0.000588845257340086,0.0232327967752774,0.00505314990302362,0.0111128937617529,0.00870257782963323,0.0476882872404219,0.0207945141248117,0.00662217341965427,0.000109832980898548,0.0102692593974386,0.0125537766177684,0.149866749197367,0.038309190332275,0.149205393903349,"mark+ve"
"P","Y2012P1","SingDigitInteger","mark+003",178,114,886,"below25tile","Y2012P1P20",54900,479651,"CreateNewAnsNumInt","PCreateNewAnsNumInt","Pbelow79tile",598,202,90.0031196581197,20121,"below79tile","4",0.534552574274805,0.00119410079657436,6.52187378743895e-05,0.00135276056234342,0.534552574274805,0.00322909032434584,0.00308262590879556,0.000362489278764519,0.00458736543653478,0.00508063363850907,0.0220008857320601,0.0998934096118558,0.0112446462924439,0.00668355943626905,0.000150045445330177,0.0169044389811525,0.00944471592540622,0.00455912612493398,0.0109083061849532,0.000640692971030478,0.000126286098575661,0.0131356486660776,0.00196642020059051,0.000344594830272062,0.00360688029861115,0.00209240393990285,0.0123002795691347,0.107978589336964,0.0128591361598714,0.00804327146877064,0.0027080068481451,0.00213953569058746,0.0266307942860337,0.019193808688317,0.0295050490279428,0.00268543591673578,0.0187471733094857,"mark+ve"
