"qNum","weAttempt","weCorrect","weIncorrect","Difficulty","Chapter","Concept","CorrectAnswer","YourResponse","iScore","iDeviate","subject","shift","qaType","weAtCorrect","countweAtCorrect","DifficultyGrp","qaTypeGrp"
1,34.38,47.56,52.44,"Moderate","Chemical Kinetics","Souring of milk","B","Unanswered",0,1.25,"chemistry","2","-1:3",16.35,1635,"Moderate","x:3"
2,55.14,55.13,44.87,"Moderate","Chemical Kinetics","Inversion of Sucrose","B","B",3,-1.97,"chemistry","2","-1:3",30.4,3040,"Moderate","x:3"
3,64.36,39.74,60.26,"Easy","Haloalkanes and Haloarenes","SN Ar","D","Unanswered",0,-1.92,"chemistry","2","-1:3",25.58,2558,"notModerate","x:3"
4,77.99,39.52,60.48,"Easy","Haloalkanes and Haloarenes","SN 1","A","B",-1,-2.37,"chemistry","2","-1:3",30.82,3082,"notModerate","x:3"
5,77.57,62.43,37.57,"Easy","p-Block Elements","Oxides","B","A",-1,-2.2,"chemistry","2","-1:3",48.43,4843,"notModerate","x:3"
6,74.84,45.66,54.34,"Easy","Alcohol Phenol Ethers","Benzyl alcohol","D","B",-1,-1.36,"chemistry","2","-1:3",34.17,3417,"notModerate","x:3"
7,49.69,65.4,5.91,"Easy","Alcohol Phenol Ethers","Ether + R - Mg - x","C,D","Unanswered",0,-0.19,"chemistry","2","-2:4",32.5,3250,"notModerate","-2:4"
8,37.11,47.46,22.6,"Moderate","Alcohol Phenol Ethers","Riemer - Tieman reaction","B,D","Unanswered",0,-2.92,"chemistry","2","-2:4",17.61,1761,"Moderate","-2:4"
9,59.96,56.99,8.74,"Moderate","Chemical Kinetics","bacterial growth","A,B","A,B",4,1.88,"chemistry","2","-2:4",34.17,3417,"Moderate","-2:4"
10,63.52,30.69,1.32,"Easy","Chemical Kinetics","Zero Order Reaction","A,C,D","B,D",-2,-1.62,"chemistry","2","-2:4",19.49,1949,"notModerate","-2:4"
11,60.38,32.64,4.86,"Easy","Haloalkanes and Haloarenes","Halogen excahge reaction","B,C","Unanswered",0,-1.44,"chemistry","2","-2:4",19.71,1971,"notModerate","-2:4"
