"unattempted","wrong","correct","partCorrect1m","partCorrect2m","partCorrect3m","subject","paper","year","qaNum","qaType","markScheme","right","tot","wOtot","uOtot","cOtot","rOtot","not.rOtot"
38510,51117,56556,8975,0,0,"physics","1","2018",1,"MultCorrAns","-201234",58800,155158,0.329,0.248,0.365,0.379,0.621
42122,64996,25284,22756,0,0,"physics","1","2018",2,"MultCorrAns","-201234",30973,155158,0.419,0.271,0.163,0.2,0.8
38242,69095,30124,17697,0,0,"physics","1","2018",3,"MultCorrAns","-201234",34548,155158,0.445,0.246,0.194,0.223,0.777
78136,50125,17372,9525,0,0,"physics","1","2018",4,"MultCorrAns","-201234",19753,155158,0.323,0.504,0.112,0.127,0.873
52714,29914,13477,27122,31931,0,"physics","1","2018",5,"MultCorrAns","-201234",36223,155158,0.193,0.34,0.087,0.233,0.767
17632,25057,48285,24786,39398,0,"physics","1","2018",6,"MultCorrAns","-201234",74181,155158,0.161,0.114,0.311,0.478,0.522
22879,77084,55195,NA,NA,NA,"physics","1","2018",7,"NumAns","+03",55195,155158,0.497,0.147,0.356,0.356,0.644
36133,104174,14851,NA,NA,NA,"physics","1","2018",8,"NumAns","+03",14851,155158,0.671,0.233,0.096,0.096,0.904
37834,110251,7073,NA,NA,NA,"physics","1","2018",9,"NumAns","+03",7073,155158,0.711,0.244,0.046,0.046,0.954
29613,91112,34433,NA,NA,NA,"physics","1","2018",10,"NumAns","+03",34433,155158,0.587,0.191,0.222,0.222,0.778
30701,105067,19390,NA,NA,NA,"physics","1","2018",11,"NumAns","+03",19390,155158,0.677,0.198,0.125,0.125,0.875
34831,98594,21733,NA,NA,NA,"physics","1","2018",12,"NumAns","+03",21733,155158,0.635,0.224,0.14,0.14,0.86
35553,113309,6296,NA,NA,NA,"physics","1","2018",13,"NumAns","+03",6296,155158,0.73,0.229,0.041,0.041,0.959
21416,76073,57669,NA,NA,NA,"physics","1","2018",14,"NumAns","+03",57669,155158,0.49,0.138,0.372,0.372,0.628
18898,36431,99829,NA,NA,NA,"physics","1","2018",15,"ParaSingleAns","-103",99829,155158,0.235,0.122,0.643,0.643,0.357
20822,47480,86856,NA,NA,NA,"physics","1","2018",16,"ParaSingleAns","-103",86856,155158,0.306,0.134,0.56,0.56,0.44
48865,52457,53836,NA,NA,NA,"physics","1","2018",17,"ParaSingleAns","-103",53836,155158,0.338,0.315,0.347,0.347,0.653
75080,59412,20666,NA,NA,NA,"physics","1","2018",18,"ParaSingleAns","-103",20666,155158,0.383,0.484,0.133,0.133,0.867
23103,42192,13179,30428,46256,0,"physics","2","2018",1,"MultCorrAns","-201234",43914,155158,0.272,0.149,0.085,0.283,0.717
57037,25385,14951,25792,31993,0,"physics","2","2018",2,"MultCorrAns","-201234",37395,155158,0.164,0.368,0.096,0.241,0.759
46624,54936,24630,28968,0,0,"physics","2","2018",3,"MultCorrAns","-201234",31872,155158,0.354,0.3,0.159,0.205,0.795
41550,94863,18745,0,0,0,"physics","2","2018",4,"MultCorrAns","-201234",18745,155158,0.611,0.268,0.121,0.121,0.879
19156,37621,89054,9327,0,0,"physics","2","2018",5,"MultCorrAns","-201234",91386,155158,0.242,0.123,0.574,0.589,0.411
68078,32762,32050,16933,5335,0,"physics","2","2018",6,"MultCorrAns","-201234",38951,155158,0.211,0.439,0.207,0.251,0.749
25888,117742,11528,NA,NA,NA,"physics","2","2018",7,"NumAns","+03",11528,155158,0.759,0.167,0.074,0.074,0.926
14067,91549,49542,NA,NA,NA,"physics","2","2018",8,"NumAns","+03",49542,155158,0.59,0.091,0.319,0.319,0.681
25603,114596,14959,NA,NA,NA,"physics","2","2018",9,"NumAns","+03",14959,155158,0.739,0.165,0.096,0.096,0.904
31719,98488,24951,NA,NA,NA,"physics","2","2018",10,"NumAns","+03",24951,155158,0.635,0.204,0.161,0.161,0.839
41427,98072,15659,NA,NA,NA,"physics","2","2018",11,"NumAns","+03",15659,155158,0.632,0.267,0.101,0.101,0.899
21240,102887,31031,NA,NA,NA,"physics","2","2018",12,"NumAns","+03",31031,155158,0.663,0.137,0.2,0.2,0.8
39325,109208,6625,NA,NA,NA,"physics","2","2018",13,"NumAns","+03",6625,155158,0.704,0.253,0.043,0.043,0.957
14553,76004,64601,NA,NA,NA,"physics","2","2018",14,"NumAns","+03",64601,155158,0.49,0.094,0.416,0.416,0.584
25405,85703,44050,NA,NA,NA,"physics","2","2018",15,"TwoListMatchSingleAns","-103",44050,155158,0.552,0.164,0.284,0.284,0.716
24055,47627,83476,NA,NA,NA,"physics","2","2018",16,"TwoListMatchSingleAns","-103",83476,155158,0.307,0.155,0.538,0.538,0.462
12847,41047,101264,NA,NA,NA,"physics","2","2018",17,"TwoListMatchSingleAns","-103",101264,155158,0.265,0.083,0.653,0.653,0.347
59252,53505,42401,NA,NA,NA,"physics","2","2018",18,"TwoListMatchSingleAns","-103",42401,155158,0.345,0.382,0.273,0.273,0.727
19687,80389,34643,20439,0,0,"chemistry","1","2018",1,"MultCorrAns","-201234",39753,155158,0.518,0.127,0.223,0.256,0.744
40526,73623,14757,26252,0,0,"chemistry","1","2018",2,"MultCorrAns","-201234",21320,155158,0.475,0.261,0.095,0.137,0.863
10905,53609,24171,19756,46717,0,"chemistry","1","2018",3,"MultCorrAns","-201234",52469,155158,0.346,0.07,0.156,0.338,0.662
76712,65981,12465,0,0,0,"chemistry","1","2018",4,"MultCorrAns","-201234",12465,155158,0.425,0.494,0.08,0.08,0.92
16985,55012,6385,34206,42570,0,"chemistry","1","2018",5,"MultCorrAns","-201234",36221,155158,0.355,0.109,0.041,0.233,0.767
63016,50026,12447,29669,0,0,"chemistry","1","2018",6,"MultCorrAns","-201234",19864,155158,0.322,0.406,0.08,0.128,0.872
15300,129374,10484,NA,NA,NA,"chemistry","1","2018",7,"NumAns","+03",10484,155158,0.834,0.099,0.068,0.068,0.932
49315,104377,1466,NA,NA,NA,"chemistry","1","2018",8,"NumAns","+03",1466,155158,0.673,0.318,0.009,0.009,0.991
